GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing
1989Ryan/Semantic_SLAM,N,100,117,9443,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,The author of the project does not reply to issues or close them.,https://github.com/1989Ryan/Semantic_SLAM/blob/master/LICENSE is provided.,Only 1 file related to testing
AaronWard/covidify,Y,422,270,1666,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/AaronWard/covidify/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well-maintained documentation,There are only 2 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,"Only project author respond to issues, as evidenced by https://github.com/AaronWard/covidify/issues/9 and https://github.com/AaronWard/covidify/issues/27.",https://github.com/AaronWard/covidify/blob/master/LICENSE is provided.,There are 2 files related to testing.
Adlik/Adlik,Y,107,150,6325,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Adlik/Adlik/graphs/contributors shows that there are multiple contributors.,The project uses Azure Pipeline for CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/Adlik/Adlik/issues/136 and https://github.com/Adlik/Adlik/issues/108.",https://github.com/Adlik/Adlik/blob/master/LICENSE is provided.,There are many files related to testing.
adobe/antialiased-cnns,N,1120,115,1785,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/adobe/antialiased-cnns/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/adobe/antialiased-cnns/blob/master/LICENSE.md is provided.,There is no evidence of any testing done on the project.
advboxes/AdvBox,N,907,370,10255,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/advboxes/AdvBox/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented but there are tutorials py files,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/advboxes/AdvBox/issues/43 and https://github.com/advboxes/AdvBox/issues/17",https://github.com/advboxes/AdvBox/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.
AFAgarap/cnn-svm,N,145,111,557,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,Issues all raised by author and he do answered others' questions,https://github.com/AFAgarap/cnn-svm/blob/master/LICENSE is provided.,there is no evidence of any testing done on the project.
AICoE/prometheus-anomaly-detector,N,145,135,1441,The source code of the project exists as ad-hoc scripts.,https://github.com/AICoE/prometheus-anomaly-detector/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,Most of the functions in the source code are not documented.,Not much commits with only 1 commit last month,"The project maintainers respond to issues, as evidenced by https://github.com/AICoE/prometheus-anomaly-detector/issues/68 and https://github.com/AICoE/prometheus-anomaly-detector/issues/64.",https://github.com/AICoE/prometheus-anomaly-detector/blob/master/LICENSE is provided.,There are 2 files related to testing.
aimacode/aima-python,Y,4715,1188,27352,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/aimacode/aima-python/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/aimacode/aima-python/issues/1181 and https://github.com/aimacode/aima-python/issues/1190",https://github.com/aimacode/aima-python/blob/master/LICENSE is provided.,There are many files related to testing
aiqm/torchani,Y,153,358,4738,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/aiqm/torchani/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,Most of the functions in the source code are not documented.,Evidence of sustained commit activity but not stable,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/XanaduAI/pennylane/issues/533",https://github.com/aiqm/torchani/blob/master/LICENSE is provided.,There are many files related to testing
aisolab/nlp_classification,N,176,383,5626,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/aisolab/nlp_classification/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"Only 2 issues, 1 open, 1 closed",https://github.com/aisolab/nlp_classification/blob/master/LICENSE is provided.,1 test file for each project
albumentations-team/albumentations,Y,5406,573,9200,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/albumentations-team/albumentations/graphs/contributors?from=2019-04-22&to=2020-03-12&type=c shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,commit activity decreasing,"The project maintainers respond to issues, as evidenced by https://github.com/albumentations-team/albumentations/issues/644 and https://github.com/albumentations-team/albumentations/issues/653 however there are s lot open issues",https://github.com/albumentations-team/albumentations/blob/master/LICENSE is provided.,There are many files related to testing
alfredfrancis/ai-chatbot-framework,Y,1340,378,1516,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/alfredfrancis/ai-chatbot-framework/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/alfredfrancis/ai-chatbot-framework/issues/130 and https://github.com/alfredfrancis/ai-chatbot-framework/issues/113 but not recently",https://github.com/alfredfrancis/ai-chatbot-framework/blob/master/License.txt is provided.,There are files related to testing
alibaba/ai-matrix,N,136,290,107178,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/alibaba/ai-matrix/graphs/contributors shows that there are multiple contributors,CI is not used on the project but there's a lot of projects so I may miss out,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/alibaba/ai-matrix/issues/2 and https://github.com/alibaba/ai-matrix/issues/51 but not often as there are more open than closed issues","There are many projects, some of them has license is provided.",There are many projects in this git and some of them have test files
allegroai/trains,Y,1347,640,115412,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allegroai/trains/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/allegroai/trains/issues/154 and https://github.com/allegroai/trains/issues/138",https://github.com/allegroai/trains/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.
allenai/allennlp,Y,8655,2156,40659,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allenai/allennlp/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/allenai/allennlp/issues/4437",https://github.com/allenai/allennlp/blob/master/LICENSE is provided.,There are many files related to testing
allenai/scibert,N,651,253,1237,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allenai/scibert/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/allenai/scibert/blob/master/LICENSE.txt is provided.,There are files related to testing
alvinwan/neural-backed-decision-trees,Y,280,702,3383,The source code of the project exists as ad-hoc scripts.,https://github.com/alvinwan/neural-backed-decision-trees/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,The maintainers of the project does not reply to issues or close them.,https://github.com/alvinwan/neural-backed-decision-trees/blob/master/LICENSE is provided.,There are files related to testing
amaiya/ktrain,Y,418,1315,13599,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/amaiya/ktrain/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/amaiya/ktrain/issues/191 and https://github.com/amaiya/ktrain/issues/185",https://github.com/amaiya/ktrain/blob/master/LICENSE is provided.,There are many files related to testing
amansrivastava17/embedding-as-service,N,116,373,9037,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/amansrivastava17/embedding-as-service/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/amansrivastava17/embedding-as-service/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.
amzn/xfer,Y,159,193,10176,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/amzn/xfer/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/amzn/xfer/issues/70 and https://github.com/amzn/xfer/issues/78",https://github.com/amzn/xfer/blob/master/LICENSE is provided.,There are many projects in this git and some of them have test files
analyticalmindsltd/smote_variants,Y,164,236,12264,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,The project uses Travis and Circle CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/analyticalmindsltd/smote_variants/issues/24 and https://github.com/analyticalmindsltd/smote_variants/issues/11 but not often",https://github.com/analyticalmindsltd/smote_variants/blob/master/LICENSE is provided.,Only 1 test file
anicolson/DeepXi,Y,211,333,2301,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/anicolson/DeepXi/graphs/contributors shows that there are multiple contributors but 1 only contribute 1 commit,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/anicolson/DeepXi/issues/29 and https://github.com/anicolson/DeepXi/issues/43",https://github.com/anicolson/DeepXi/blob/master/LICENSE.txt is provided.,There are files related to testing
AntonMu/TrainYourOwnYOLO,Y,191,314,5225,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,CI is not used on the project.,There is a well-maintained documentation,There are only 12 commits in the past month,"Only project author respond to issues, as evidenced by https://github.com/AntonMu/TrainYourOwnYOLO/issues/118 and https://github.com/AntonMu/TrainYourOwnYOLO/issues/108.",https://github.com/AntonMu/TrainYourOwnYOLO/blob/master/LICENSE is provided.,There are many files related to testing.
apache/beam,Y,4034,27591,141584,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apache/beam/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/apache/beam/pull/12186 and https://github.com/apache/beam/pull/12190",https://github.com/apache/beam/blob/master/LICENSE is provided.,There are many files related to testing
apache/submarine,Y,263,375,6152,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apache/submarine/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"5 open, 5 closed",https://github.com/apache/submarine/blob/master/LICENSE-binary and https://github.com/apache/submarine/blob/master/LICENSE-binary are provided.,There are many files related to testing
apachecn/Interview,Y,6115,829,7337,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apachecn/Interview/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/apachecn/Interview/blob/master/LICENSE is provided.,There are files related to testing
apachecn/pytorch-doc-zh,N,2317,788,41,The source code of the project exists as ad-hoc scripts.,https://github.com/apachecn/pytorch-doc-zh/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/apachecn/pytorch-doc-zh/issues/497 and https://github.com/apachecn/pytorch-doc-zh/issues/517 but not often and not recently",https://github.com/apache/beam/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.
apple/turicreate,Y,9707,1514,250459,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apple/turicreate/graphs/contributors shows that there are multiple contributors,The project uses Travis and Gitlab CI,There is a well-maintained documentation,Evidence of sustained commit activity but decreasing,"The project maintainers respond to issues, as evidenced by https://github.com/apple/turicreate/issues/3247 and https://github.com/apple/turicreate/issues/3249",https://github.com/apple/turicreate/blob/master/LICENSE.md is provided.,There are many files related to testing
arita37/mlmodels,Y,128,2563,253130,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/arita37/mlmodels/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,Open issues more than closed,https://github.com/arita37/mlmodels/blob/dev/LICENSE is provided.,There are many files related to testing
ARM-software/CMSIS_5,Y,1320,2421,10005,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/ARM-software/CMSIS_5/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well-maintained documentation,There are only 5 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,"The project maintainers respond to issues, as evidenced by https://github.com/ARM-software/CMSIS_5/issues/890 and https://github.com/ARM-software/CMSIS_5/issues/805.",https://github.com/ARM-software/CMSIS_5/blob/develop/LICENSE.txt is provided.,There are many files related to testing.
arogozhnikov/einops,Y,833,199,3449,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/arogozhnikov/einops/graphs/contributors shows that there are multiple contributors but mainly 1,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,Open issues more than closed,https://github.com/arogozhnikov/einops/blob/master/LICENSE is provided.,There are files related to testing
arogozhnikov/hep_ml,Y,126,331,3507,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/arogozhnikov/hep_ml/graphs/contributors shows that there are multiple contributors but mainly 1,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,Do reply to issues last time but not recently and not often,https://github.com/arogozhnikov/hep_ml/blob/master/LICENSE is provided.,There are many files related to testing
arviz-devs/arviz,Y,804,966,29227,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/arviz-devs/arviz/graphs/contributors shows that there are multiple contributors,The project uses Azure Pipeline CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/arviz-devs/arviz/issues/1262 and https://github.com/arviz-devs/arviz/issues/1270",https://github.com/arviz-devs/arviz/blob/master/LICENSE is provided.,There are many files related to testing
asappresearch/flambe,Y,208,661,12861,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/asappresearch/flambe/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity until recently,Do reply to issues last time but not recently and not often,https://github.com/asappresearch/flambe/blob/master/LICENSE is provided.,There are many files related to testing
asappresearch/sru,Y,1805,275,3357,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/asappresearch/sru/graphs/contributors shows that there are multiple contributors,The project uses Circle CI,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,Open issues more than closed,https://github.com/asappresearch/sru/blob/master/LICENSE is provided.,There are files related to testing
as-ideas/TransformerTTS,Y,360,421,4195,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/as-ideas/TransformerTTS/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/as-ideas/TransformerTTS/issues/33 and https://github.com/as-ideas/TransformerTTS/issues/34 but not often",https://github.com/as-ideas/TransformerTTS/blob/master/LICENSE is provided.,There are files related to testing
astooke/rlpyt,Y,1523,639,28684,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/astooke/rlpyt/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/astooke/rlpyt/issues/162 and https://github.com/astooke/rlpyt/issues/170",https://github.com/astooke/rlpyt/blob/master/LICENSE is provided.,There are files related to testing
athena-team/athena,Y,142,296,11211,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/athena-team/athena/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/athena-team/athena/issues/164 and https://github.com/athena-team/athena/issues/141",https://github.com/athena-team/athena/blob/master/LICENSE is provided.,There are many files related to testing
autorope/donkeycar,Y,1825,1893,12355,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/autorope/donkeycar/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/autorope/donkeycar/issues/600 and https://github.com/autorope/donkeycar/issues/566",https://github.com/autorope/donkeycar/blob/dev/LICENSE is provided.,There are many files related to testing
avrae/avrae,Y,146,2854,17885,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/avrae/avrae/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,"Most of the bugs raised by bot, resolved then closed by bot",https://github.com/avrae/avrae/blob/master/LICENSE is provided.,There are many files related to testing
awslabs/amazon-sagemaker-examples,Y,3754,1383,103490,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/awslabs/amazon-sagemaker-examples/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,Open issues more than closed,https://github.com/awslabs/amazon-sagemaker-examples/blob/master/LICENSE.txt is provided.,There are many projects in this git and some of them have test files
BachiLi/redner,Y,849,871,33049,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/BachiLi/redner/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well-maintained documentation,There are only 4 commits in the past month,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/BachiLi/redner/pull/110 and https://github.com/BachiLi/redner/issues/126.",https://github.com/BachiLi/redner/blob/master/LICENSE is provided.,There are many files related to testing.
baldassarreFe/deep-koalarization,Y,349,148,2616,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/baldassarreFe/deep-koalarization/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/baldassarreFe/deep-koalarization/issues/4 and https://github.com/baldassarreFe/deep-koalarization/issues/14",https://github.com/baldassarreFe/deep-koalarization/blob/master/LICENSE is provided.,There are many files related to testing
batra-mlp-lab/visdial-challenge-starter-pytorch,N,162,120,1510,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/issues/23 and https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/issues/32 but not very often",https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.
bayesiains/nflows,Y,107,105,6154,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/bayesiains/nflows/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Little evidence of sustained commit activity,Open issues more than closed,https://github.com/bayesiains/nflows/blob/master/LICENSE.md is provided.,There are many files related to testing
Belval/TextRecognitionDataGenerator,Y,1269,121,2922,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Belval/TextRecognitionDataGenerator/graphs/contributors shows that there are multiple contributors but mainly author,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/Belval/TextRecognitionDataGenerator/issues/109 and https://github.com/Belval/TextRecognitionDataGenerator/issues/95.",https://github.com/Belval/TextRecognitionDataGenerator/blob/master/LICENSE is provided.,There are 2 files related to testing.
beringresearch/ivis,Y,199,420,1694,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/beringresearch/ivis/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/beringresearch/ivis/issues/61 and https://github.com/beringresearch/ivis/issues/71",https://github.com/beringresearch/ivis/blob/master/LICENSE is provided.,There are many files related to testing
berkmancenter/mediacloud,Y,164,18259,34919,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/berkmancenter/mediacloud/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity but decreasing,"The project maintainers respond to issues, as evidenced by https://github.com/berkmancenter/mediacloud/issues/697 and https://github.com/berkmancenter/mediacloud/issues/713",https://github.com/berkmancenter/mediacloud/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.
bethgelab/foolbox,Y,1474,1538,7631,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/bethgelab/foolbox/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/bethgelab/foolbox/issues/498 and https://github.com/bethgelab/foolbox/issues/545 but some are closed without resolving","There is no license to be found, either in the form of a license file or written inside the source code file.",There are many files related to testing
bethgelab/siamese-mask-rcnn,N,218,174,8081,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/matterport/Mask_RCNN/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,Open issues more than closed,https://github.com/matterport/Mask_RCNN/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.
beyretb/AnimalAI-Olympics,N,516,312,1876,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/beyretb/AnimalAI-Olympics/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/beyretb/AnimalAI-Olympics/issues/83 and https://github.com/beyretb/AnimalAI-Olympics/issues/91","There is no license to be found, either in the form of a license file or written inside the source code file.",There are files related to testing
bhoov/exbert,Y,283,138,60137,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/bhoov/exbert/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/bhoov/exbert/issues/7 and https://github.com/bhoov/exbert/issues/10",https://github.com/bhoov/exbert/blob/master/LICENSE is provided.,There are many files related to testing
BindsNET/bindsnet,Y,659,1317,8976,The source code of the project exists as ad-hoc scripts.,https://github.com/BindsNET/bindsnet/graphs/contributors shows that there are multiple contributors.,The project uses Travis CI,Most of the functions in the source code are not documented.,Little evidence of sustained commit activity with 17 commits last month,"The project maintainers respond to issues, as evidenced by https://github.com/BindsNET/bindsnet/issues/345 and https://github.com/BindsNET/bindsnet/issues/317.",https://github.com/BindsNET/bindsnet/blob/master/LICENSE is provided.,There are many files related to testing.
biolib/openprotein,N,117,163,2241,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/biolib/openprotein/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,Open issues more than closed,https://github.com/biolib/openprotein/blob/master/LICENSE is provided.,There are files related to testing
bitextor/bitextor,Y,140,2578,3705,The source code of this project has been organised into different modules in a way that shows the relationship between different files but quite messy,https://github.com/bitextor/bitextor/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity until recently,"The project maintainers respond to issues, as evidenced by https://github.com/bitextor/bitextor/issues/169 and https://github.com/bitextor/bitextor/issues/175",https://github.com/bitextor/bitextor/blob/master/document-aligner/LICENSE is provided.,There are files related to testing
black0017/MedicalZooPytorch,N,189,113,6096,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/black0017/MedicalZooPytorch/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/black0017/MedicalZooPytorch/issues/3 and https://github.com/black0017/MedicalZooPytorch/issues/4",https://github.com/black0017/MedicalZooPytorch/blob/master/LICENSE.md is provided.,There are many files related to testing
BloodAxe/pytorch-toolbelt,Y,753,467,9912,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/BloodAxe/pytorch-toolbelt/graphs/contributors shows that there are multiple contributors but mainly author,The project uses Travis CI,Most of the functions in the source code are not documented.,There are only 2 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/BloodAxe/pytorch-toolbelt/issues/4 and https://github.com/BloodAxe/pytorch-toolbelt/issues/7.",https://github.com/BloodAxe/pytorch-toolbelt/blob/develop/LICENSE is provided.,There are many files related to testing.
brainiak/brainiak,Y,192,376,19127,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/brainiak/brainiak/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/brainiak/brainiak/issues/448 and https://github.com/brainiak/brainiak/issues/456",https://github.com/brainiak/brainiak/blob/master/LICENSE is provided.,There are many files related to testing
bricewalker/Hey-Jetson,Y,137,307,3314,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/bricewalker/Hey-Jetson/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/bricewalker/Hey-Jetson/issues/53 and https://github.com/bricewalker/Hey-Jetson/issues/51",https://github.com/bricewalker/Hey-Jetson/blob/master/LICENSE is provided.,There are many files related to testing
BrikerMan/Kashgari,Y,1697,838,4420,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/BrikerMan/Kashgari/graphs/contributors shows that there are multiple contributors but mainly author,The project uses Azure Pipeline for CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/BrikerMan/Kashgari/issues/394 and https://github.com/BrikerMan/Kashgari/issues/387.",https://github.com/BrikerMan/Kashgari/blob/v2-trunk/LICENSE is provided.,There are many files related to testing.
broadinstitute/keras-rcnn,Y,501,838,4683,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/broadinstitute/keras-rcnn/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,Open issues more than closed,https://github.com/broadinstitute/keras-rcnn/blob/master/LICENSE is provided.,There are many files related to testing
bulletphysics/bullet3,Y,6503,8560,84536,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/bulletphysics/bullet3/graphs/contributors shows that there are multiple contributors,The project uses Travis and Appveyor CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/bulletphysics/bullet3/issues/2834 and https://github.com/bulletphysics/bullet3/issues/2907",https://github.com/bulletphysics/bullet3/blob/master/LICENSE.txt is provided.,There are many files related to testing
